Grób,Barwa zewn.,Barwa wewn.,Faktura,Domieszka,Ornament,Uwagi,Grupa techn.,Masa [g],Iloœæ skorup,Uwagi2.0,guzki miseczkowate,linie ryte,guzki plastyczne,ornament choinkowy,odciski plecionki,otwory na powierzchni,do³ki paznokciowe,otwory pod wylewem,do³ki palcowe,ornament pseudosznurowy,listwy karbowane,listwy plastyczne,ornament stempelkowy,wciêcia w wylewach,ryte okrêgi,nak³uwanie
268,b,b,g,k,pionowe plastyczne listewki imituj¹ce ucha,-,3a,1325,70,,,,,,,,,,,,,1,,,,
269,b,b,ch,k,guzki miseczkowate; otwory pod wylewem,-,3b,3320,91,,1,,,,,,,1,,,,,,,,
270,b,b,g,0/k,-,-,3a,2786,51,,,,,,,,,,,,,,,,,
271,b,b,g,0,kompozycja linii rytych,-,3a,1219,32,,,1,,,,,,,,,,,,,,
272,b,b,g,k,podwójnie przek³ute listewki imituj¹ce ucha,-,3a,2230,50,,,,,,,,,,,,,1,,,,
273,b,b,g,k,kompozycja linii rytych poziomych i skoœnych,waza,3a,1435,110,,,1,,,,,,,,,,,,,,
273,b,b,g,0/k,-,miseczka,3a,55,1,,,,,,,,,,,,,,,,,
274,b,c,g,k,"ucha, ornament pseudosznurowy",-,2a,1024,81,,,,,,,,,,,1,,,,,,
275,c,b,g,k,-,waza,1,769,72,,,,,,,,,,,,,,,,,
275,b,b,ch,k,-,misa,3b,454,23,,,,,,,,,,,,,,,,,
276,b,b,ch,k,"do³ki paznokciowe, guzy plastyczne",garnek,3b,1053,62,,,,1,,,,1,,,,,,,,,
276,b,b,g,k,-,misa,3a,83,4,,,,,,,,,,,,,,,,,
277,b,b,g,k,guzy plastyczne,waza,3a,419,72,,,,1,,,,,,,,,,,,,
277,b,b,g,k,-,misa,3a,335,17,,,,,,,,,,,,,,,,,
277,b,b,g,0/k,-,miseczka,3a,62,4,,,,,,,,,,,,,,,,,
278,b,b,ch,k,guzy miseczkowate,-,3b,1230,13,,1,,,,,,,,,,,,,,,
279,b,b,g,k,-,garnek,3a,1882,70,,,,,,,,,,,,,,,,,
279,b,b,g,k,-,misa,3a,456,26,,,,,,,,,,,,,,,,,
280,b,b,ch,k,"otwory pod wylewem, guzki plastyczne",-,3b,1604,94,,,,1,,,,,1,,,,,,,,
280,b,b,g,0/k,-,misa,3a,26,2,,,,,,,,,,,,,,,,,
280,b,b,g,0,-,czerpak,3a,39,2,,,,,,,,,,,,,,,,,
281,b,b,g,0/k,-,-,3a,905,38,,,,,,,,,,,,,,,,,
282,b,b,g,k,"kompozycja linii rytych i guzów plastycznych, otwory pod wylewem",-,3a,2030,104,,,1,1,,,,,1,,,,,,,,
283,b,b,g,k,-,-,3a,2318,33,,,,,,,,,,,,,,,,,
283,b,b,g,k,-,miseczka,3a,109,4,,,,,,,,,,,,,,,,,
284,b,b,g,0/k,-,-,3a,1091,1,,,,,,,,,,,,,,,,,
284,b,b,g,k,-,misa,3a,264,22,,,,,,,,,,,,,,,,,
284,b,b,g,k,-,czerpak,3a,84,3,,,,,,,,,,,,,,,,,
285,b,b,g,k,plastyczne guzy na kraw. Wylewu,misa,3a,570,20,,,,1,,,,,,,,,,,,,
285,b,b,g,k,do³ki paznokciowe; otwory pod wylewem,-,3a,3281,8,,,,,,,,1,1,,,,,,,,
286,b,b,g,k,-,-,3a,1466,6,,,,,,,,,,,,,,,,,
287,b,b,g,0/k,-,-,3a,1177,16,,,,,,,,,,,,,,,,,
288,b,b,g,k,-,-,3a,1209,68,,,,,,,,,,,,,,,,,
289,b,b,g,0/k,skoœne listewki plastyczne,-,3a,2295,37,,,,,,,,,,,,,1,,,,
290,b,b,g,0/k,-,czerpak,3a,132,1,,,,,,,,,,,,,,,,,
290,b,b,g,k,poziome listewki plastyczne,-,3a,2894,1,,,,,,,,,,,,,1,,,,
291,b,b,g,0/k,"kompozycja plastycznych guzów, linii rytych i ornamentu choinkowego; otwory pod wylewem",-,3a,1245,31,,,1,1,1,,,,1,,,,,,,,
292,b,b,g,"k, s",-,-,3a,767,16,,,,,,,,,,,,,,,,,
293,b,b,g,k,kompozycja skoœnych i poziomych linii rytych i grup pionowych listewek,-,3a,2404,40,,,1,,,,,,,,,,1,,,,
294,b,b,g,0/k,-,-,3a,2057,66,,,,,,,,,,,,,,,,,
294,b,b,g,"k, s?",poprzeczna listewka imituj¹ca ucho,misa,3a,415,16,,,,,,,,,,,,,1,,,,
295,b,b,g,k,-,garnek,3a,644,110,,,,,,,,,,,,,,,,,
295,b,b,g,k,-,czerpak,3a,298,1,,,,,,,,,,,,,,,,,
296,b,b,g,k,-,-,3a,1105,130,,,,,,,,,,,,,,,,,
297,b,b,g,k,-,-,3a,939,48,,,,,,,,,,,,,,,,,
298,b,b/c,g,k,otwory pod wylewem,brunatny przy wylewie,3a,1207,115,,,,,,,,,1,,,,,,,,
299,b,b,g,k,-,miseczka,3a,83,1,,,,,,,,,,,,,,,,,
299,b/c,b/c,-,k,zniszczenie powierzchni,miska,nan,428,6,,,,,,,,,,,,,,,,,
300,b,b,g,k,kompozycja linii rytych i guzów plastycznych,-,3a,717,18,,,1,1,,,,,,,,,,,,,
301,b,b,g,k,guz na kraw. Wylewu,misa,3a,87,2,,,,1,,,,,,,,,,,,,
301,b,b,g,0/k,"kompozycja ornamentu choinkoweg, linii rytych i grup pionowych listewek",-,3a,2827,139,,,1,,1,,,,,,,,1,,,,
302,b,b,g,k/s?,kompozycja ukoœnych linii rytych i guzów plastycznych,-,3a,3037,73,,,1,1,,,,,,,,,,,,,
303,b,b,g,k,-,-,3a,747,8,,,,,,,,,,,,,,,,,
304,c/b,b,g,k,"kompozycja linii rytych i guzów plastycznych, imitacja uszu, otwory pod wylewem",brunatny przy wylewie,1,3385,80, XSSSSS,,1,1,,,,,1,,,,,,,,
305,b,b,g,k,ostry brzusiec,-,3a,2590,66,,,,,,,,,,,,,,,,,
306,b,b,ch,k,podwójny rz¹d ma³ych nak³uæ,-,3b,581,38,,,,,,,,,,,,,,,,,1
307,b,b,g,0/k,ucha,GIPS,3a,1275,53,,,,,,,,,,,,,,,,,
308,b,b,g,k,"grupy guzów plastycznych po 3, dookolne linie ryte, stempelki, otwory pod wylewem",garnek,3a,2609,92,,,1,1,,,,,1,,,,,1,,,
308,b,b,g,k,-,misa,3a,437,22,,,,,,,,,,,,,,,,,
309,b,b,g,0,-,GIPS,3a,1094,16,,,,,,,,,,,,,,,,,
310,b,b,g,0,-,-,3a,609,27,,,,,,,,,,,,,,,,,
311,b,b,g,k,linia ryta; guzy plastyczne,-,3a,1783,21,,,1,1,,,,,,,,,,,,,
312,b,b,g,0/k,guzki plastyczne na brzuœcu,-,3a,1272,18,,,,1,,,,,,,,,,,,,
313,b,b,ch,k,-,-,3b,828,125,,,,,,,,,,,,,,,,,
314,b,b,g,k,"ucha, guzy plastyczne",-,3a,1114,40,,,,1,,,,,,,,,,,,,
314,b,b,g,0,-,miseczka (czerpak w ksiêdze),3a,47,1,,,,,,,,,,,,,,,,,
314,b,b,g,0,-,czerpak,3a,73,3,,,,,,,,,,,,,,,,,
315,b,b,ch,k,"guzki miseczkowate, do³ki paznokciowe, otwory pod wylewem",garnek,3b,2507,90,,1,,,,,,1,1,,,,,,,,
315,b,b,g,k,-,misa,3a,81,5,,,,,,,,,,,,,,,,,
316,b,b,g,k,guzki plastyczne,-,3a,2962,107,,,,1,,,,,,,,,,,,,
317,b,b,g,k,-,garnek,3a,3238,39,,,,,,,,,,,,,,,,,
317,b,b,g,0/k,-,miseczka,3a,92,1,,,,,,,,,,,,,,,,,
318,b,b,g,k,-,waza,3a,1932,88,,,,,,,,,,,,,,,,,
318,b,b,g,k,-,czerpak,3a,59,7,,,,,,,,,,,,,,,,,
319,b,b,ch,k,"dookolna listwa plastyczna, otwory pod wylewem, obmazywanie",-,3b,1160,150,,,,,,,,,1,,,,1,,,,
319,b/c,b/c,g,k,-,misa,3a,286,24,,,,,,,,,,,,,,,,,
320,b,b,g,k,-,-,3a,960,32,,,,,,,,,,,,,,,,,
321,b,b,g,k,otwory pod wylewem,misa z otworkami,3a,600,18,,,,,,,,,1,,,,,,,,
321,b,b,g,0/k,-,w tekœcie - misa z guzkami; w materiale guzków nie zauwa¿y³em,3a,431,35,,,,,,,,,,,,,,,,,
322,b,b,g,k,poziome listewki plastyczne,-,3a,1346,13,,,,,,,,,,,,,1,,,,
323,b,b,g,0/k/s?,-,-,3a,1269,1,,,,,,,,,,,,,,,,,
324,b,b,g,0/k/s?,-,-,3a,1363,36,,,,,,,,,,,,,,,,,
325,b,b/c,g,k,kompozycja ornamentu pseudosznurowego i guzów plastycznych,-,3a,2936,48,,,,1,,,,,,,1,,,,,,
326,b,b,g,0,wciêcie w wylewie?,misa,3a,711,70,,,,,,,,,,,,,,,1,,
327,b,b,g,0/k,kompozycja linii rytych i guzków plastycznych,waza,3a,1741,87,,,1,1,,,,,,,,,,,,,
327,b,b,g,0,-,"w inwentarzu miseczka, w materiale czerpak",3a,129,8,,,,,,,,,,,,,,,,,
328,b,b,g,k,wciêcie w wylewie,-,3a,483,26,,,,,,,,,,,,,,,1,,
329,b,b,g,0/k,otwory pod wylewem,-,3a,2468,151,,,,,,,,,1,,,,,,,,
330,b,b,g,k,-,-,3a,2135,130,,,,,,,,,,,,,,,,,
331,b,b,ch,k,"listewki plastyczne, do³ki paznokciowe",-,3b,1159,60,,,,,,,,1,,,,,1,,,,
332,b,b,ch,k,otwory pod wylewem,-,3b,1224,51,,,,,,,,,1,,,,,,,,
333,b,b,ch,k,-,garnek,3b,855,28,,,,,,,,,,,,,,,,,
333,b,b,g,k,-,misa,3a,267,10,,,,,,,,,,,,,,,,,
334,b,b,g,0/k,guzy plastyczne; wciêcie w wylewie,-,3a,2203,60,,,,1,,,,,,,,,,,1,,
335,b,b,ch,k,"otwory pod wylewem, guzki plastyczne",-,3b,1371,76,,,,1,,,,,1,,,,,,,,
336,b/c,b/c,ch,k,kompozycja linii rytych i guzów plastycznych,-,3b,1910,70,,,1,1,,,,,,,,,,,,,
BRAK METRYKI,b,b,g,k,otwory pod wylewem,waza,3a,1906,0,,,,,,,,,1,,,,,,,,
ar 2 æw. B g³. 20-60,b,b,ch,k,listewki karbowane,-,3b,442,17,,,,,,,,,,,,1,,,,,
ar 2 æw. B g³. 20-60,b,b,g,k,guzki plastyczne,-,3a,299,33,,,,1,,,,,,,,,,,,,
ar 2 æw. B g³. 20-60,c,c,g,k,-,-,4,3,1,,,,,,,,,,,,,,,,,
ar 2 æw. B g³. 20-60,b,b,g,0,-,czerpak,3a,110,2,,,,,,,,,,,,,,,,,
ar 2 æw. B g³. 20-60,b,b,g,k,-,czerpak,3a,67,6,,,,,,,,,,,,,,,,,
ar 5 æw. C,b,b,g,0,do³ki paznokciowe,-,3a,50,16,,,,,,,,1,,,,,,,,,
ar 5 æw. b,b,b,g,k,-,-,3a,15,6,,,,,,,,,,,,,,,,,
ar 4 æw. C,,,,,-,nowo¿yty,nan,,2,,,,,,,,,,,,,,,,,
ar 5 æw. D,,,,,-,zniszczone,nan,,5,,,,,,,,,,,,,,,,,
luz,b,c,g,k,-,-,2a,26,4,,,,,,,,,,,,,,,,,
luz ,b,b,g,k,-,-,3a,42,5,,,,,,,,,,,,,,,,,
ar 1 æw. C,b,b,g,k,-,-,3a,154,7,,,,,,,,,,,,,,,,,
ar 1 æw. C,b,b,ch,k,-,-,3b,31,2,,,,,,,,,,,,,,,,,
luz,b,b,g,k,-,-,3a,1909,104,,,,,,,,,,,,,,,,,
luz,b,b,ch,k,-,-,3b,57,3,,,,,,,,,,,,,,,,,
