Grób,Barwa zewn.,Barwa wewn.,Faktura,Domieszka,Ornament,Uwagi,Grupa techn.,Masa [g],Iloœæ skorup,Uwagi2.0,guzki miseczkowate,linie ryte,guzki plastyczne,ornament choinkowy,odciski plecionki,otwory na powierzchni,do³ki paznokciowe,otwory pod wylewem,do³ki palcowe,ornament pseudosznurowy,listwy karbowane,listwy plastyczne,ornament stempelkowy,wciêcia w wylewach,ryte okrêgi,nak³uwanie
124,b,b,g,0/k,kompozycja linii rytych i guzów plastycznych,-,3a,2134,51,,,1,1,,,,,,,,,,,,,
124,b,b,g,0/k,-,czerpak,3a,122,4,,,,,,,,,,,,,,,,,
125,b/c,b/c,g,0/k,"ucha, skoœne linie ryte",GIPS,3a,343,10,,,1,,,,,,,,,,,,,,
126,b,b,g,k,kompozycja linii rytych,waza,3a,1827,105,,,1,,,,,,,,,,,,,,
126,b,b,g,k,-,miseczka,3a,86,9,,,,,,,,,,,,,,,,,
126,b,b,g,k,-,miseczka,3a,144,11,,,,,,,,,,,,,,,,,
127,b,b,g,0,cztery ucha,-,3a,831,21,,,,,,,,,,,,,,,,,
128,b,b,g,k,kompozycja linii rytych,-,3a,1542,128,,,1,,,,,,,,,,,,,,
129,b,b,g,k,-,-,3a,1672,37,,,,,,,,,,,,,,,,,
130,b,b,g,k,-,-,3a,2053,67,,,,,,,,,,,,,,,,,
131,b,b,g,0/k,guzy na najw. Wydêtoœci brzuœca; wyciêcie w kraw. Wylewu,-,3a,1152,0,,,,1,,,,,,,,,,,1,,
132,b,b,ch,k,"do³ki paznokciowe, guzy plastyczne, otwory pod wylewem",-,3b,902,23,,,,1,,,,1,1,,,,,,,,
133,b,b,g,0/k,wyciêcie w krawêdzi wylewu,-,3a,2015,1,,,,,,,,,,,,,,,1,,
134,b,b,g,k,-,waza,3a,2100,130,,,,,,,,,,,,,,,,,
134,b,b,g,0/k,-,czerpak,3a,144,1,,,,,,,,,,,,,,,,,
135,b,b,g,k,-,-,3a,2551,76,,,,,,,,,,,,,,,,,
135,,,,,-,misa - BRAK W MATERIALE,nan,,4,,,,,,,,,,,,,,,,,
136,b,b/c,g,k,-,misa,3a,743,26,,,,,,,,,,,,,,,,,
136,b,b,ch,k,otwory pod wylewem,-,3b,2256,140,,,,,,,,,1,,,,,,,,
137,b,b,g,k,otwory pod wylewem,waza,3a,2673,234,,,,,,,,,1,,,,,,,,
137,b,b,g,k,-,misa,3a,481,50,,,,,,,,,,,,,,,,,
138,c/b,c,g,k,kompozycja linii rytych,brunatny przy dnie,4,1870,115,,,1,,,,,,,,,,,,,,
139,b,b,g,k,guzy plastyczne,-,3a,2425,110,,,,1,,,,,,,,,,,,,
140,b,b,ch,k,listewki karbowane; do³ki paznokciowe,-,3b,3082,89,,,,,,,,1,,,,1,,,,,
141,b,b,g,k,listewki plastyczne imituj¹ce ucha,-,3a,753,110,,,,,,,,,,,,,1,,,,
142,b,b,g,k,guzy plastyczne; otwory pod wylewem,misa,3a,1140,36,,,,1,,,,,1,,,,,,,,
142,b,b,ch,"k, s",listwy karbowane; guzy plastyczne; otwory pod wylewem,-,3b,2942,95,,,,1,,,,,1,,,1,,,,,
143,b,c,g,k,kompozycja linii rytych,waza,2a,2119,80,,,1,,,,,,,,,,,,,,
143,b,b,g,0,-,miseczka,3a,80,3,,,,,,,,,,,,,,,,,
144,b,b,ch,k,"otwory pod wylewem, do³ki miseczkowate, do³ki palcowe",garnek,3b,2227,15,,,,1,,,,,1,1,,,,,,,
144,b,b,g,0/k,guzy imituj¹ce ucha,misa,3a,557,44,,,,1,,,,,,,,,,,,,
144,b,b,g,0/k,-,misa,3a,838,43,,,,,,,,,,,,,,,,,
145,b,b,g,k,guzy plastyczne,pow. Zniszczona,3a,580,40,,,,1,,,,,,,,,,,,,
146,b,b,g,k,-,-,3a,1208,150,,,,,,,,,,,,,,,,,
147,b,b,g,k,-,-,3a,828,96,,,,,,,,,,,,,,,,,
148,b,b,g,0/k,kompozycja poziomych i skoœnych linii rytych,-,3a,3004,140,,,1,,,,,,,,,,,,,,
149,b,b,ch,k,-,-,3b,1375,79,,,,,,,,,,,,,,,,,
150,b/c,c/b,g,k,kompozycja poziomych i skoœnych linii rytych i skoœnych listewek,-,2a,1811,30,,,1,,,,,,,,,,1,,,,
151,b,b,ch,k,otwory pod wylewem,-,3b,1646,154,,,,,,,,,1,,,,,,,,
152,b,b,g,"k, s?, roÅ›l",-,-,3a,2365,40,,,,,,,,,,,,,,,,,
153,b,b,g,k,kompozycja ornamentu pseudosznurowego; pionowe listewki plastyczne,waza,3a,598,16,,,,,,,,,,,1,,1,,,,
153,b/c,c/b,g,k,"podwójne, pionowo przek³ute ucha; guzy plastyczne; linia ryta pod wylewem",misa,2a,344,16,,,1,1,,,,,,,,,,,,,
153,b,b,g,0,-,miseczka,3a,36,8,,,,,,,,,,,,,,,,,
154,b,b,g,0/k,-,misa?,3a,656,37,,,,,,,,,,,,,,,,,
154,b,b,g,0/k,-,czerpak,3a,70,9,,,,,,,,,,,,,,,,,
155,b,b,g,k,-,-,3a,850,80,,,,,,,,,,,,,,,,,
156,b,b,g,0/k,-,-,3a,494,40,,,,,,,,,,,,,,,,,
157,b,b,g,0/k,-,-,3a,1447,33,,,,,,,,,,,,,,,,,
158,b,b,ch,k,-,-,3b,2211,126,,,,,,,,,,,,,,,,,
159,b,b,g,k,-,misa,3a,199,22,,,,,,,,,,,,,,,,,
159,b,b,g,0/k,-,-,3a,2474,61,,,,,,,,,,,,,,,,,
160,b,b,g,k,-,miseczka,3a,72,1,,,,,,,,,,,,,,,,,
160,b,b,g,"k, s",-,-,3a,2957,134,,,,,,,,,,,,,,,,,
160,b,b,g,k,-,garnek,3a,880,12,,,,,,,,,,,,,,,,,
161,b,b,g,0/k,pionowe listewki plastyczne i guzy; otwory pod wylewem,-,3a,2316,11,,,,1,,,,,1,,,,1,,,,
161,b,b,g,k,-,misa,3a,379,38,,,,,,,,,,,,,,,,,
162,b,b,g,k,listewki plastyczne,waza,3a,2850,170,,,,,,,,,,,,,1,,,,
162,b,b,g,0/k,grupy podwójnych guzków na kraw. Wylewu,misa,3a,610,50,,,,1,,,,,,,,,,,,,
163,b,b,g,0,-,misa,3a,811,4,,,,,,,,,,,,,,,,,
163,b,b,g,k,-,garnek,3a,486,22,,,,,,,,,,,,,,,,,
164,b,b,g,k,guzy plastyczne,-,3a,718,23,,,,1,,,,,,,,,,,,,
165,b,b,g,k,-,-,3a,2137,113,,,,,,,,,,,,,,,,,
166,b,b,g,0/k,-,-,3a,1479,19,,,,,,,,,,,,,,,,,
167,b,b,g,k,wyciêcie w krawêdzi wylewu,-,3a,2798,35,,,,,,,,,,,,,,,1,,
168,c,b,g,k,-,garnek,1,1870,220,,,,,,,,,,,,,,,,,
168,b,b,g,k,-,misa,3a,596,30,,,,,,,,,,,,,,,,,
169,b,b,g,k,poziome listewki plastyczne,-,3a,2427,37,,,,,,,,,,,,,1,,,,
170,b,b,g,k,kompozycja ornamentu pseudosznurowego,-,3a,2048,38,,,,,,,,,,,1,,,,,,
171,b,b,g,k,-,-,3a,1137,34,,,,,,,,,,,,,,,,,
172,b,b,ch,k,otwory pod wylewem,-,3b,784,83,,,,,,,,,1,,,,,,,,
173,b/c,b,g,"k, s",-,-,3a,2391,76,,,,,,,,,,,,,,,,,
173,b,b,g,k,-,misa,3a,544,26,,,,,,,,,,,,,,,,,
174,b,b,g,k,guzy plastyczne na najw. Wydêtoœci brzuœca,GIPS,3a,2224,5,,,,1,,,,,,,,,,,,,
175,b,b,g,0/k,"kompozycja ornamentu choinkowego, poziomych i skoœnych linii rytych, rytych kó³ek i plastycznych guzów; otwory pod wylewem",GIPS,3a,4409,120,,,1,1,1,,,,1,,,,,,,1,
175,b,b,g,k,-,misa,3a,182,9,,,,,,,,,,,,,,,,,
176,b,b,g,0/k,grupy guzów na najw. Wydêtoœci brzuœca,-,3a,1274,52,,,,1,,,,,,,,,,,,,
177,b,b,g,0/k,-,-,3a,2022,59,,,,,,,,,,,,,,,,,
177,b,b,g,k,-,miseczka,3a,53,1,,,,,,,,,,,,,,,,,
178,b,b,g,0/k,guzy na najw.wydêtoœci brzuœca,-,3a,2161,30,,,,1,,,,,,,,,,,,,
179,b,b,g,0/k/p,-,-,3a,2246,45,,,,,,,,,,,,,,,,,
180,b,b,g,k,-,-,3a,1423,55,,,,,,,,,,,,,,,,,
181,b,b,ch,k,guzy plastyczne z wg³êbieniami,-,3b,1532,22,,1,,,,,,,,,,,,,,,
182,b,b,g,0,grupy pionowych plastycznych listewek; otwory pod wylewem,GIPS,3a,2199,1,,,,,,,,,1,,,,1,,,,
183,b,b,g,0/p,kompozycja poziomych i skoœnych linii rytych i grup pionowych listewek,GIPS,3a,2664,30,,,1,,,,,,,,,,1,,,,
184,b,b,ch,k,listewki karbowane,-,3b,1423,144,,,,,,,,,,,,1,,,,,
185,c/b,b,g,k,kompozycja linii rytych,-,1,2188,170,,,1,,,,,,,,,,,,,,
186,b,b,ch,k,"otwory pod wylewem, do³ki palcowe, rz¹d do³ków paznokciowych",-,3b,2663,105,,,,,,,,1,1,1,,,,,,,
187,b,b,ch,k,odciski palcowe; otwory pod wylewem; obmazywanie,-,3b,2597,55,,,,,,,,,1,1,,,,,,,
188,b,b,ch,k,"do³ki paznokciowe, otwory pod wylewem, obmazywanie",-,3b,3235,113,,,,,,,,1,1,,,,,,,,
189,b,b,ch,k,-,-,3b,2490,140,,,,,,,,,,,,,,,,,
190,b,b,ch,k,-,naczynko miniaturowe,3b,187,1,,,,,,,,,,,,,,,,,
190,b,b,ch,k,-,-,3b,1611,42,,,,,,,,,,,,,,,,,
191,b,b,g,k,kompozycja ornamentu pseudosznurowego i grup skoœnych listewek plastycznych,-,3a,2279,6,,,,,,,,,,,1,,1,,,,
191,b,b,g,k,-,misa,3a,774,16,,,,,,,,,,,,,,,,,
192,b,b,g,"k, s",-,GIPS,3a,3564,102,,,,,,,,,,,,,,,,,
193,b,b,ch,k,"otwory pod wylewem, do³ki paznokciowe, guzy plastyczne",garnek,3b,2085,94,,,,1,,,,1,1,,,,,,,,
193,b,b,g,k,-,misa,3a,475,30,,,,,,,,,,,,,,,,,
194,b,b,g,k,grupy plastycznych guzów na najw. Wydêtoœci brzuœca,-,3a,1518,25,,,,1,,,,,,,,,,,,,
195,b,b,g,k,wyciêcie w krawêdzi wylewu,-,3a,1851,17,,,,,,,,,,,,,,,1,,
196,b,b,g,k,-,misa,3a,423,9,,,,,,,,,,,,,,,,,
196,,,,,-,garnek,nan,,53,,,,,,,,,,,,,,,,,
197,b,b,ch,k,otwory pod wylewem,-,3b,2345,76,,,,,,,,,1,,,,,,,,
198,b,b,g,k,grupy pionowych listewek plastycznych,-,3a,1023,120,,,,,,,,,,,,,1,,,,
199,b,b,ch,k,"guzki miseczkowate, obmazywanie",-,3b,1289,128,,1,,,,,,,,,,,,,,,
200,b,b,-,k,"guzki miseczkowate, otwory pod wylewem",-,nan,2696,171,,1,,,,,,,1,,,,,,,,
201,b,b,ch,k,"guzki miseczkowate, listwy karbowane, otwory pod wylewem",-,3b,2202,65,,1,,,,,,,1,,,1,,,,,
202,b,b,ch,k,"guzki miseczkowate, obmazywanie",garnek,3b,3140,65,,1,,,,,,,,,,,,,,,
202,b,b,g,k,guzy imituj¹ce ucha,misa,3a,677,8,,,,1,,,,,,,,,,,,,
203,b,b,g,k,-,waza,3a,1948,134,,,,,,,,,,,,,,,,,
203,b,b,g,0/k,-,miseczka,3a,32,2,,,,,,,,,,,,,,,,,
203,b,b,g,0/k,-,misa,3a,141,7,,,,,,,,,,,,,,,,,
204,b,b,g,k,-,garnek,3a,1986,58,,,,,,,,,,,,,,,,,
204,b,b,g,0,-,miseczka,3a,74,3,,,,,,,,,,,,,,,,,
205,b,b,ch,k,"otwory pod wylewem, guzki miseczkowate",-,3b,1346,125,,1,,,,,,,1,,,,,,,,
206,b,b,g,k,wciêcie w wylewie,-,3a,1484,30,,,,,,,,,,,,,,,1,,
207,b,b,g,k,-,-,3a,688,45,,,,,,,,,,,,,,,,,
208,c,b,g,k,-,-,1,4390,1,,,,,,,,,,,,,,,,,
208,b,b,g,0/k,-,miseczka,3a,141,1,,,,,,,,,,,,,,,,,
209,b,b,ch,"k, s?",otwory pod wylewem,-,3b,2437,75,,,,,,,,,1,,,,,,,,
210,b,c/b,g,0,otwory pod wylewem,-,2a,1970,1,,,,,,,,,1,,,,,,,,
210,b,b/c,g,k,-,misa,3a,494,24,,,,,,,,,,,,,,,,,
211,b,b,ch,k,"otwory pod wylewem, do³ki paznokciowe",-,3b,653,109,,,,,,,,1,1,,,,,,,,
212,b/c,c,g,0/k,-,-,2a,1191,19,,,,,,,,,,,,,,,,,
213,b,b,ch,"k, s",guzy plastyczne; rz¹d do³ków paznokciowych; ma³e guzki pod wylewem,-,3b,3123,49,,,,1,,,,1,,,,,,,,,
